                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.19819,                 1.2446,                0.97719,                0.68356,                0.77848,                0.83437,                0.81243,                0.29716,                0.82728,                 0.4583,               0.070032,              0.0033298,              0.0033298
                      1,                0.17359,                 0.6561,                0.93436,                0.86042,                0.88287,                0.93557,                 0.9238,                0.25954,                0.67054,                0.41683,               0.039966,              0.0065972,              0.0065972
                      2,                0.19822,                0.60302,                0.93953,                0.85348,                0.84757,                0.92239,                0.88612,                0.39522,                0.63912,                0.55979,              0.0098337,              0.0097986,              0.0097986
                      3,                0.19039,                0.56266,                0.93606,                0.83878,                0.85092,                0.92268,                0.89947,                0.30815,                0.65404,                0.46909,               0.009703,               0.009703,               0.009703
                      4,                0.16469,                0.50384,                0.92592,                0.88939,                0.92999,                0.97319,                 0.9443,                0.24625,                0.47006,                0.38909,               0.009703,               0.009703,               0.009703
                      5,                0.14648,                0.46109,                0.91867,                0.94291,                0.92266,                0.97932,                0.97094,                0.25158,                0.42874,                0.44518,               0.009604,               0.009604,               0.009604
                      6,                0.13149,                0.42813,                0.91299,                0.94403,                0.93794,                0.98137,                0.96092,                0.28559,                0.43835,                0.44468,               0.009505,               0.009505,               0.009505
                      7,                0.12439,                0.40221,                0.91203,                0.92832,                0.94765,                0.98402,                0.96741,                0.19407,                0.35803,                0.33569,               0.009406,               0.009406,               0.009406
                      8,                0.11653,                0.38731,                0.90985,                0.94836,                 0.9511,                0.98211,                0.97404,                0.14699,                0.29937,                0.26407,               0.009307,               0.009307,               0.009307
                      9,                0.10987,                0.36802,                  0.906,                0.93885,                0.95748,                0.98161,                 0.9758,                0.18037,                0.34375,                0.31322,               0.009208,               0.009208,               0.009208
                     10,                0.10676,                0.35907,                0.90572,                0.95284,                 0.9625,                0.98218,                 0.9762,                0.19973,                0.31837,                0.33157,               0.009109,               0.009109,               0.009109
                     11,                0.10185,                  0.349,                0.90624,                0.91093,                0.92933,                0.96424,                0.95184,                0.18975,                0.41311,                0.30684,                0.00901,                0.00901,                0.00901
