                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4679,                 3.0857,                  1.511,                0.49906,                0.29722,                0.31269,                0.17774,                  1.296,                 2.6021,                 1.4049,               0.070236,              0.0033071,              0.0033071
                      1,                 1.3809,                 2.0869,                 1.4355,                0.51045,                0.49964,                0.52026,                0.28995,                 1.4489,                 2.0866,                  1.557,                0.04017,              0.0065747,              0.0065747
                      2,                 1.4348,                 1.8904,                 1.4695,                0.68362,                0.35262,                0.42379,                0.22415,                 1.5267,                 2.1987,                 1.6282,               0.010039,              0.0097763,              0.0097763
                      3,                 1.4568,                 1.8303,                 1.4874,                 0.5683,                0.59466,                0.59379,                0.31271,                 1.4887,                 2.1557,                 1.6109,               0.009703,               0.009703,               0.009703
                      4,                 1.4696,                 1.7222,                 1.4906,                0.68208,                0.60397,                0.66331,                0.37041,                 1.4522,                 1.6745,                 1.5443,               0.009703,               0.009703,               0.009703
                      5,                 1.4551,                 1.6511,                 1.4863,                0.65711,                0.66753,                0.68601,                0.38914,                 1.4403,                 1.6331,                 1.5546,               0.009604,               0.009604,               0.009604
                      6,                 1.4183,                 1.5566,                 1.4653,                0.66403,                 0.6557,                0.68358,                0.39006,                 1.3906,                 1.4548,                 1.4928,               0.009505,               0.009505,               0.009505
                      7,                 1.4095,                  1.475,                 1.4554,                0.75095,                0.60913,                0.69491,                0.38111,                 1.4462,                 1.6531,                 1.5537,               0.009406,               0.009406,               0.009406
                      8,                 1.3671,                 1.4246,                  1.429,                0.76476,                0.65053,                0.73372,                0.41582,                 1.4183,                 1.4246,                 1.5294,               0.009307,               0.009307,               0.009307
                      9,                 1.3891,                 1.4038,                  1.443,                0.80117,                0.73426,                0.77584,                0.44621,                 1.3934,                 1.2262,                 1.4763,               0.009208,               0.009208,               0.009208
                     10,                 1.3417,                  1.333,                 1.4236,                0.79954,                0.72489,                 0.7871,                0.46004,                 1.3465,                 1.2314,                 1.4658,               0.009109,               0.009109,               0.009109
                     11,                 1.3742,                 1.3471,                 1.4336,                0.80633,                0.73799,                0.79924,                 0.4687,                 1.3431,                  1.175,                 1.4477,                0.00901,                0.00901,                0.00901
